feature	AGE	T1.severity	DAYS_TREAT	DUR_ILLNESS_YRS	STAI_Y1.T1	STAI_Y1.T2	STAI_Y1.diff	STAI_Y2.T1	STAI_Y2.T2	STAI_Y2.diff	STAI_TOTAL.T1	STAI_TOTAL.T2	STAI_TOTAL.diff	PSS.T1	PSS.T2	PSS.diff	BMI.T1	BMI.T2	BMI.diff	Weight_kg.T1	Weight_kg.T2	Weight_kg.diff	BMI.gain.per.day
AGE	1	-0.00795804144392392	-0.16191873391509	0.856671952646706	-0.0923404015921563	-0.0334252370479739	0.0689960170263068	-0.0980346263905471	-0.0561582148034896	-0.070789777850601	-0.10537495514357	-0.0327915543126634	-0.0206445033497218	-0.223249929130475	-0.173928871311223	0.0414942254588486	0.0079580414439239	-0.251885971590648	-0.166500591015771	0.0552612623757218	-0.135932232203593	-0.173557557814089	0.11653648296512
T1.severity	-0.00795804144392392	1	0.367476185807031	-0.401575634395576	-0.0617480228697852	-0.00817358668067497	-0.0151356745239782	-0.138766527419771	-0.139075002984018	-0.119245512384942	-0.1251188754774	-0.0818686539066182	-0.0392115543572003	-0.0714018715019839	-0.160409851364861	-0.159645351258902	-1	-0.690083675504064	0.490414371109558	-0.885163253538035	-0.660005020852398	0.541244439795712	0.321525366140666
DAYS_TREAT	-0.16191873391509	0.367476185807031	1	-0.0762276074290949	-0.0641665834048918	-0.172451026544968	-0.160420661569206	-0.0465751612145366	-0.169914342356294	-0.152601388183043	-0.0849720752073732	-0.167615897542805	-0.140585294825253	0.111071836765802	-0.205415970574078	-0.304010725932551	-0.367476185807031	0.280956201800477	0.827884169911144	-0.381870624847679	0.177063457035166	0.850626350499812	-0.0617209022065978
DUR_ILLNESS_YRS	0.856671952646706	-0.401575634395576	-0.0762276074290949	1	-0.129442776554655	-0.310156757130972	-0.0591497046015634	-0.126502721405699	-0.298031529388002	-0.143267629856656	-0.173063920055092	-0.328691920102106	-0.165882282716502	-0.255414476065596	-0.415920808790894	0.0532046710908464	0.401575634395576	0.124166960437296	-0.0820959017805277	0.335539088131661	0.234674139576017	-0.094873683952403	-0.100467559175004
STAI_Y1.T1	-0.0923404015921563	-0.0617480228697852	-0.0641665834048918	-0.129442776554655	1	0.723490929399415	-0.29168199655322	0.772735634459191	0.760310419888034	0.114730686066593	0.943883122692519	0.810295566757729	-0.0922129223494338	0.697960251796608	0.573666175347823	0.0246583903024065	0.0617480228697851	-0.125798371213276	-0.158998875779768	0.0703776541205413	-0.026397641609608	-0.11215729923424	-0.0654186115180981
STAI_Y1.T2	-0.0334252370479739	-0.00817358668067497	-0.172451026544968	-0.310156757130972	0.723490929399415	1	0.449285679758778	0.582723282612653	0.834159406627432	0.432204395405948	0.742984625462372	0.960156794618904	0.46043253351854	0.440152704015422	0.6663631873948	0.358727094656721	0.00817358668067497	-0.21044613908392	-0.276705323847312	0.0407738128489347	-0.151507599098806	-0.268647847913153	-0.0872844355901844
STAI_Y1.diff	0.0689960170263068	-0.0151356745239782	-0.160420661569206	-0.0591497046015634	-0.29168199655322	0.449285679758778	1	-0.187790079463505	0.166374344356922	0.504249559512436	-0.235995225237141	0.275852136228576	0.864457508789832	-0.24585732426175	0.185026460681758	0.460694048551265	0.0151356745239782	-0.14747815709955	-0.166775071775445	0.0402565838113728	-0.187750783223894	-0.220238956857225	0.0194597867649324
STAI_Y2.T1	-0.0980346263905471	-0.138766527419771	-0.0465751612145366	-0.126502721405699	0.772735634459191	0.582723282612653	-0.187790079463505	1	0.746206660530669	-0.251204059692479	0.937388839988907	0.698234455051208	-0.25483070648865	0.787002554084731	0.591205917684642	-0.0829436397365578	0.138766527419771	-0.00911482432184052	-0.0820655866562117	0.109715253381425	0.0115309622081958	-0.0583117795409815	-0.0510967554323463
STAI_Y2.T2	-0.0561582148034896	-0.139075002984018	-0.169914342356294	-0.298031529388002	0.760310419888034	0.834159406627432	0.166374344356922	0.746206660530669	1	0.456917529021191	0.807712431565932	0.954558337280882	0.362344939171718	0.565099911030577	0.780094859520818	0.362356021506305	0.139075002984018	-0.067804465484093	-0.260693578636747	0.107573546891208	-0.040978966485992	-0.26593806510963	-0.0543246841049827
STAI_Y2.diff	-0.070789777850601	-0.119245512384942	-0.152601388183043	-0.143267629856656	0.114730686066593	0.432204395405948	0.504249559512436	-0.251204059692479	0.456917529021191	1	-0.05959139717518	0.459407586605849	0.867339344765388	-0.217479841032547	0.334856908027702	0.637684730233062	0.119245512384942	-0.0701754733279171	-0.236609241230959	0.118504524996882	-0.0328986156006819	-0.283655670982207	0.0593745646759851
