feature	AGE	T1.severity	DAYS_TREAT	DUR_ILLNESS_YRS	STAI_Y1.T1	STAI_Y1.T2	STAI_Y1.diff	STAI_Y2.T1	STAI_Y2.T2	STAI_Y2.diff	STAI_TOTAL.T1	STAI_TOTAL.T2	STAI_TOTAL.diff	PSS.T1	PSS.T2	PSS.diff	BMI.T1	BMI.T2	BMI.diff	Weight_kg.T1	Weight_kg.T2	Weight_kg.diff	BMI.gain.per.day
AGE	NA	0.933934738862243	0.123066295015909	1.43843624521871e-16	0.360848874022519	0.767051221312771	0.548350182381126	0.363514643458856	0.64425487602753	0.569186654792509	0.32852238206524	0.78755543652853	0.868298530873203	0.0263366373565348	0.122838220650971	0.720111926713332	0.933934738862242	0.0179124978238897	0.123235975316918	0.568183087370632	0.206662721537576	0.112170914882051	0.282407990216193
T1.severity	0.933934738862243	NA	0.000366681958062352	0.00287908200640298	0.547948256039933	0.943006473955336	0.896748145153269	0.205312947366197	0.258018607866797	0.344089675097821	0.253890954722349	0.50687892567902	0.756470515039411	0.489369875638785	0.160637173263484	0.171268115818698	0	1.43122741157297e-13	1.42266914951972e-06	2.4188709139144e-37	4.77619474710248e-12	8.88007717277731e-08	0.00239199005961539
DAYS_TREAT	0.123066295015909	0.000366681958062352	NA	0.618705370807302	0.566831883393125	0.133676260667009	0.169171124807674	0.69558844888832	0.169238621524628	0.224914878939643	0.474754069035269	0.175166126659203	0.263993966778837	0.323560339099552	0.0750543682473808	0.00845548578242886	0.00036668195806235	0.00801222415143408	4.68731633265665e-23	0.000241412559705164	0.0988773635484349	6.84733266458043e-25	0.570096454380802
DUR_ILLNESS_YRS	1.43843624521871e-16	0.00287908200640298	0.618705370807302	NA	0.380560761892393	0.0484357446197446	0.724274303366302	0.442845763522186	0.0920709601445451	0.450084171458051	0.292067939694832	0.0618098545656723	0.380997441271184	0.0831398202202145	0.00760234713627268	0.754474307056538	0.00287908200640298	0.433363920277878	0.609857773421028	0.01404226498029	0.13466817044982	0.555167419945707	0.531973479257693
STAI_Y1.T1	0.360848874022519	0.547948256039933	0.566831883393125	0.380560761892393	NA	3.44248440697017e-14	0.00866050401923322	1.84221758733687e-19	3.52611232522029e-14	0.347875241854936	4.44101401549676e-45	3.3543496253188e-17	0.451094102465877	2.54165950367618e-16	3.27001353627416e-08	0.829215391689912	0.547948256039933	0.272444655150622	0.167219635646361	0.497951332809471	0.818547479523559	0.338050780027313	0.571895075360209
STAI_Y1.T2	0.767051221312771	0.943006473955336	0.133676260667009	0.0484357446197446	3.44248440697017e-14	NA	2.90915977883268e-05	1.20634671349148e-07	9.19324965983368e-20	0.000208490747303709	1.78155332121985e-13	1.72808947124689e-40	6.86842009671787e-05	4.39825079307327e-05	8.33049283776175e-12	0.00116879564963022	0.943006473955336	0.0739229459488436	0.0186239674819663	0.724775940173879	0.200706986619631	0.0245309127352437	0.465962530597338
STAI_Y1.diff	0.548350182381126	0.896748145153269	0.169171124807674	0.724274303366302	0.00866050401923322	2.90915977883268e-05	NA	0.119527495930869	0.171843162700224	9.984061238031e-06	0.049205952930046	0.0217762143345493	1.08760488426604e-21	0.0279301822647333	0.102581115396184	1.93457548949072e-05	0.896748145153269	0.219694905241172	0.167616852805464	0.733447901626717	0.116901187536483	0.0711222948388074	0.872963146595441
STAI_Y2.T1	0.363514643458856	0.205312947366197	0.69558844888832	0.442845763522186	1.84221758733687e-19	1.20634671349148e-07	0.119527495930869	NA	1.86139086187521e-13	0.0373379125083296	5.31040754070406e-43	2.57482188377963e-11	0.0345892989072796	2.28767197633878e-20	8.86644464094886e-08	0.498048412711439	0.205312947366197	0.939863705164928	0.49942951993547	0.317519050653903	0.92341397049562	0.631586355592324	0.674424685523393
STAI_Y2.T2	0.64425487602753	0.258018607866797	0.169238621524628	0.0920709601445451	3.52611232522029e-14	9.19324965983368e-20	0.171843162700224	1.86139086187521e-13	NA	7.92917035070377e-05	5.04580937816775e-17	1.56693618222892e-38	0.00221652530475359	4.22502764177487e-07	6.69332044242474e-16	0.00221578178574185	0.258018607866798	0.591496673742066	0.037473385084021	0.382572848257374	0.743901541968666	0.0336715554830779	0.669855029098448
STAI_Y2.diff	0.569186654792509	0.344089675097821	0.224914878939643	0.450084171458051	0.347875241854936	0.000208490747303709	9.984061238031e-06	0.0373379125083296	7.92917035070377e-05	NA	0.626688690172352	7.16331332512363e-05	5.55756236821985e-22	0.0726421529700689	0.00491734093252185	3.80222689502784e-09	0.344089675097821	0.584707754497589	0.0640927425364784	0.347117843598549	0.79635171101722	0.0254725990892082	0.646660665952987
STAI_TOTAL.T1	0.32852238206524	0.253890954722349	0.474754069035269	0.292067939694832	4.44101401549676e-45	1.78155332121985e-13	0.049205952930046	5.31040754070406e-43	5.04580937816775e-17	0.626688690172352	NA	2.38883807620252e-17	0.136945772233266	4.1790421769639e-20	4.41985091036005e-10	0.894331181313057	0.253890954722349	0.555859593454718	0.24531394891985	0.313545732089051	0.934325215293883	0.359264405947105	0.652146035476167
STAI_TOTAL.T2	0.78755543652853	0.50687892567902	0.175166126659203	0.0618098545656723	3.3543496253188e-17	1.72808947124689e-40	0.0217762143345493	2.57482188377963e-11	1.56693618222892e-38	7.16331332512363e-05	2.38883807620252e-17	NA	0.000257709677384116	1.0457046953009e-06	3.15902447439807e-14	0.00277052377214185	0.50687892567902	0.306120760561536	0.0379107907944423	0.635270575861566	0.46448425466479	0.0337815398866336	0.609358246022488
STAI_TOTAL.diff	0.868298530873203	0.756470515039411	0.263993966778837	0.380997441271184	0.451094102465877	6.86842009671787e-05	1.08760488426604e-21	0.0345892989072796	0.00221652530475359	5.55756236821985e-22	0.136945772233266	0.000257709677384116	NA	0.0255693747315154	0.0478846816130952	2.61898278380195e-07	0.756470515039411	0.399589206916115	0.160173343295558	0.831397066995841	0.376557156863007	0.0580646061495327	0.737330668995507
PSS.T1	0.0263366373565348	0.489369875638785	0.323560339099552	0.0831398202202145	2.54165950367618e-16	4.39825079307327e-05	0.0279301822647333	2.28767197633878e-20	4.22502764177487e-07	0.0726421529700689	4.1790421769639e-20	1.0457046953009e-06	0.0255693747315154	NA	3.15462922963926e-08	0.00686599160013861	0.489369875638786	0.46298845995621	0.544061847161768	0.276735945098323	0.164644418668204	0.295938863212623	0.649838899448711
PSS.T2	0.122838220650971	0.160637173263484	0.0750543682473808	0.00760234713627268	3.27001353627416e-08	8.33049283776175e-12	0.102581115396184	8.86644464094886e-08	6.69332044242474e-16	0.00491734093252185	4.41985091036005e-10	3.15902447439807e-14	0.0478846816130952	3.15462922963926e-08	NA	2.97445905221901e-09	0.160637173263484	0.700367837534947	0.010382131764184	0.192275544474182	0.806346538675377	0.0159731919691241	0.50281865348199
PSS.diff	0.720111926713332	0.171268115818698	0.00845548578242886	0.754474307056538	0.829215391689912	0.00116879564963022	1.93457548949072e-05	0.498048412711439	0.00221578178574185	3.80222689502784e-09	0.894331181313057	0.00277052377214185	2.61898278380195e-07	0.00686599160013861	2.97445905221901e-09	NA	0.171268115818698	0.292176316641922	0.00181715383893293	0.38809597530204	0.151327604177979	0.000615858163847596	0.811043335858599
BMI.T1	0.933934738862242	0	0.00036668195806235	0.00287908200640298	0.547948256039933	0.943006473955336	0.896748145153269	0.205312947366197	0.258018607866798	0.344089675097821	0.253890954722349	0.50687892567902	0.756470515039411	0.489369875638786	0.160637173263484	0.171268115818698	NA	1.43122741157297e-13	1.42266914951972e-06	2.4188709139144e-37	4.77619474710248e-12	8.8800771727772e-08	0.00239199005961539
BMI.T2	0.0179124978238897	1.43122741157297e-13	0.00801222415143408	0.433363920277878	0.272444655150622	0.0739229459488436	0.219694905241172	0.939863705164928	0.591496673742066	0.584707754497589	0.555859593454718	0.306120760561536	0.399589206916115	0.46298845995621	0.700367837534947	0.292176316641922	1.43122741157297e-13	NA	0.00601084690380909	4.16395245194933e-10	4.66475005306117e-25	0.0779118148754476	0.840535099106785
BMI.diff	0.123235975316918	1.42266914951972e-06	4.68731633265665e-23	0.609857773421028	0.167219635646361	0.0186239674819663	0.167616852805464	0.49942951993547	0.037473385084021	0.0640927425364784	0.24531394891985	0.0379107907944423	0.160173343295558	0.544061847161768	0.010382131764184	0.00181715383893293	1.42266914951972e-06	0.00601084690380909	NA	4.52216187361606e-06	0.186758972491191	1.20790337371714e-48	0.000131901166057576
