feature	AGE	T1.severity	DAYS_TREAT	DUR_ILLNESS_YRS	STAI_Y1.T1	STAI_Y1.T2	STAI_Y1.diff	STAI_Y2.T1	STAI_Y2.T2	STAI_Y2.diff	STAI_TOTAL.T1	STAI_TOTAL.T2	STAI_TOTAL.diff	PSS.T1	PSS.T2	PSS.diff	BMI.T1	BMI.T2	BMI.diff	Weight_kg.T1	Weight_kg.T2	Weight_kg.diff
AGE	1	-0.00795804144392392	-0.16191873391509	0.856671952646706	-0.0923404015921563	-0.0334252370479739	0.0689960170263068	-0.0980346263905471	-0.0561022054817149	-0.0687296024018727	-0.10537495514357	-0.0170933882884057	0.0180555845191635	-0.223249929130475	-0.173928871311223	0.0414942254588486	0.0079580414439239	-0.259835026093491	-0.166500591015771	0.0836456970939819	-0.135932232203593	-0.225841850415725
T1.severity	-0.00795804144392392	1	0.367476185807031	-0.401575634395576	-0.0617480228697852	-0.00817358668067497	-0.0151356745239782	-0.138766527419771	-0.139072079595884	-0.11922512013461	-0.1251188754774	-0.0808768290863247	-0.0371824553978345	-0.0714018715019839	-0.160409851364861	-0.159645351258902	-1	-0.690083675504064	0.490414371109558	-0.885163253538035	-0.660005020852398	0.541244439795712
DAYS_TREAT	-0.16191873391509	0.367476185807031	1	-0.0762276074290949	-0.0641665834048918	-0.172451026544968	-0.160420661569206	-0.0465751612145366	-0.169388734626883	-0.150165052666281	-0.0849720752073732	-0.150712712638834	-0.0970700440558983	0.111071836765802	-0.205415970574078	-0.304010725932551	-0.367476185807031	0.281100270152102	0.827884169911144	-0.380578540115548	0.177063457035166	0.822227592445379
DUR_ILLNESS_YRS	0.856671952646706	-0.401575634395576	-0.0762276074290949	1	-0.129442776554655	-0.310156757130972	-0.0591497046015634	-0.126502721405699	-0.285646857795087	-0.124124588019515	-0.173063920055092	-0.270970878969597	-0.0548586587316636	-0.255414476065596	-0.415920808790894	0.0532046710908464	0.401575634395576	0.0903589192015557	-0.0820959017805277	0.37046184303418	0.234674139576017	-0.204911185056401
STAI_Y1.T1	-0.0923404015921563	-0.0617480228697852	-0.0641665834048918	-0.129442776554655	1	0.723490929399415	-0.29168199655322	0.772735634459191	0.757187799024783	0.112863890271326	0.943883122692519	0.787374370326417	-0.117888394553309	0.697960251796608	0.573666175347823	0.0246583903024065	0.0617480228697851	-0.125363815109002	-0.158998875779768	0.0307065002623206	-0.026397641609608	-0.0219138265240509
STAI_Y1.T2	-0.0334252370479739	-0.00817358668067497	-0.172451026544968	-0.310156757130972	0.723490929399415	1	0.449285679758778	0.582723282612653	0.81340892752814	0.41733406165062	0.742984625462372	0.899599052373525	0.356594891078118	0.440152704015422	0.6663631873948	0.358727094656721	0.00817358668067497	-0.210308087569804	-0.276705323847312	0.00888587733633677	-0.151507599098806	-0.182512862975247
STAI_Y1.diff	0.0689960170263068	-0.0151356745239782	-0.160420661569206	-0.0591497046015634	-0.29168199655322	0.449285679758778	1	-0.187790079463505	0.164081343066316	0.489498359340742	-0.235995225237141	0.240272825742511	0.739227966497491	-0.24585732426175	0.185026460681758	0.460694048551265	0.0151356745239782	-0.149327370505388	-0.166775071775445	0.0566758077325389	-0.187750783223894	-0.233995908054322
STAI_Y2.T1	-0.0980346263905471	-0.138766527419771	-0.0465751612145366	-0.126502721405699	0.772735634459191	0.582723282612653	-0.187790079463505	1	0.746203095417189	-0.251369005576842	0.937388839988907	0.690492939945499	-0.248287531189816	0.787002554084731	0.591205917684642	-0.0829436397365578	0.138766527419771	-0.00716793132041762	-0.0820655866562117	0.0849166211572589	0.0115309622081958	-0.0239443862583316
STAI_Y2.T2	-0.0561022054817149	-0.139072079595884	-0.169388734626883	-0.285646857795087	0.757187799024783	0.81340892752814	0.164081343066316	0.746203095417189	1	0.456770701589524	0.806359967992796	0.946552592670893	0.343131830146385	0.565134923544542	0.780094859520818	0.362356021506305	0.139072079595884	-0.0673459143171924	-0.258515808104848	0.0660040864860109	-0.0411011082624635	-0.174709322725897
STAI_Y2.diff	-0.0687296024018727	-0.11922512013461	-0.150165052666281	-0.124124588019515	0.112863890271326	0.41733406165062	0.489498359340742	-0.251369005576842	0.456770701589524	1	-0.0603038945764162	0.457376192496533	0.830662159813901	-0.217601103909767	0.334856908027702	0.637684730233062	0.11922512013461	-0.0692162429469668	-0.231689139604682	0.0893981221261332	-0.0326726213635858	-0.179064891260502
