feature	AGE	T1.severity	DAYS_TREAT	DUR_ILLNESS_YRS	STAI_Y1.T1	STAI_Y1.T2	STAI_Y1.diff	STAI_Y2.T1	STAI_Y2.T2	STAI_Y2.diff	STAI_TOTAL.T1	STAI_TOTAL.T2	STAI_TOTAL.diff	PSS.T1	PSS.T2	PSS.diff	BMI.T1	BMI.T2	BMI.diff	Weight_kg.T1	Weight_kg.T2	Weight_kg.diff
AGE	NA	0.933934738862243	0.123066295015909	1.43843624521871e-16	0.360848874022519	0.767051221312771	0.548350182381126	0.363514643458856	0.642145597226728	0.577588630178776	0.32852238206524	0.887486656102136	0.883809576103904	0.0263366373565348	0.122838220650971	0.720111926713332	0.933934738862242	0.0150810455456176	0.123235975316918	0.382762789384959	0.206662721537576	0.0354394975853501
T1.severity	0.933934738862243	NA	0.000366681958062352	0.00287908200640298	0.547948256039933	0.943006473955336	0.896748145153269	0.205312947366197	0.25442654642039	0.34034206934143	0.253890954722349	0.508853716942223	0.766922618919328	0.489369875638785	0.160637173263484	0.171268115818698	0	1.43122741157297e-13	1.42266914951972e-06	2.4188709139144e-37	4.77619474710248e-12	8.88007717277731e-08
DAYS_TREAT	0.123066295015909	0.000366681958062352	NA	0.618705370807302	0.566831883393125	0.133676260667009	0.169171124807674	0.69558844888832	0.167303411276711	0.22879229529878	0.474754069035269	0.219901903536811	0.438122892537705	0.323560339099552	0.0750543682473808	0.00845548578242886	0.00036668195806235	0.00835411620665219	4.68731633265665e-23	0.00021536064060741	0.0988773635484349	1.63473325954368e-22
DUR_ILLNESS_YRS	1.43843624521871e-16	0.00287908200640298	0.618705370807302	NA	0.380560761892393	0.0484357446197446	0.724274303366302	0.442845763522186	0.101501655605849	0.505873650647397	0.292067939694832	0.121122081355202	0.769438853632666	0.0831398202202145	0.00760234713627268	0.754474307056538	0.00287908200640298	0.57422638249665	0.609857773421028	0.00582470891707	0.13466817044982	0.192997228863803
STAI_Y1.T1	0.360848874022519	0.547948256039933	0.566831883393125	0.380560761892393	NA	3.44248440697017e-14	0.00866050401923322	1.84221758733687e-19	3.33731138138008e-14	0.35223574478302	4.44101401549676e-45	6.28695839544708e-16	0.331070324127457	2.54165950367618e-16	3.27001353627416e-08	0.829215391689912	0.547948256039933	0.277318626714218	0.167219635646361	0.76526522056944	0.818547479523559	0.849959173642885
STAI_Y1.T2	0.767051221312771	0.943006473955336	0.133676260667009	0.0484357446197446	3.44248440697017e-14	NA	2.90915977883268e-05	1.20634671349148e-07	2.26310623782555e-18	0.000325277367587176	1.78155332121985e-13	2.97531415877856e-27	0.00244511071611679	4.39825079307327e-05	8.33049283776175e-12	0.00116879564963022	0.943006473955336	0.0761987921052052	0.0186239674819663	0.938049153168215	0.200706986619631	0.124909359084575
STAI_Y1.diff	0.548350182381126	0.896748145153269	0.169171124807674	0.724274303366302	0.00866050401923322	2.90915977883268e-05	NA	0.119527495930869	0.174684638891942	1.704965463367e-05	0.049205952930046	0.0451209732300465	2.72456474364817e-13	0.0279301822647333	0.102581115396184	1.93457548949072e-05	0.896748145153269	0.217278113235794	0.167616852805464	0.626761019802748	0.116901187536483	0.0512167211879743
STAI_Y2.T1	0.363514643458856	0.205312947366197	0.69558844888832	0.442845763522186	1.84221758733687e-19	1.20634671349148e-07	0.119527495930869	NA	1.23077730257971e-13	0.0358109218257021	5.31040754070406e-43	3.7464114541106e-11	0.0382194967237676	2.28767197633878e-20	8.86644464094886e-08	0.498048412711439	0.205312947366197	0.953038026326416	0.49942951993547	0.434210180680365	0.92341397049562	0.841756206587111
STAI_Y2.T2	0.642145597226728	0.25442654642039	0.167303411276711	0.101501655605849	3.33731138138008e-14	2.26310623782555e-18	0.174684638891942	1.23077730257971e-13	NA	7.04835566111501e-05	3.65985195322286e-17	1.28319504163317e-36	0.00363747891993155	3.45451617646774e-07	6.69332044242474e-16	0.00221578178574185	0.25442654642039	0.59401232011365	0.037592648174076	0.584457460019388	0.741222061966911	0.157348169134587
STAI_Y2.diff	0.577588630178776	0.34034206934143	0.22879229529878	0.505873650647397	0.35223574478302	0.000325277367587176	1.704965463367e-05	0.0358109218257021	7.04835566111501e-05	NA	0.619960923458088	6.87455249059785e-05	5.86454973261595e-19	0.0703654409110971	0.00491734093252185	3.80222689502784e-09	0.34034206934143	0.589864346891063	0.0676849588486257	0.468463193186341	0.796119090422055	0.153516538870431
